RefCodeWebCode;Reference_Year;Ref_Code;Source;Web_Code;Web_Year;Web_Decade;Data_Status;From_Database;LATstand;LONGstand;LATabs;LONGabs;Country;ISO3;Hemisphere;Continent;Realm_WWF;Biome_WWF;Ecoregion_WWF;Metanetwork;Plant_taxon_criterion;Plant_Taxonomic_level;Plant_taxon;Plant_trait_criterion;Animal_taxon_criterion;Animal_Taxonomic_level;Animal_taxon;Animal_taxon_2;Animal_taxon_3;Animal_taxon_4;Animal_taxon_5
miller_et_al_2018_X_miller_et_al_2018;2018;miller_et_al_2018;ALPINE_BOTANY;miller_et_al_2018;2018;2010;Original;No;-45;168;45;168;New Zealand;NZL;Southern;Oceania;Oceania;Montane_grasslands_and_shrublands;South_Island_montane_grasslands;no;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
trojelsgaard_&_olesen_2012_X_primack_1983_mountcook;2012;trojelsgaard_&_olesen_2012;GLOBAL_ECOLOGY_AND_BIOGEOGRAPHY;primack_1983_mountcook;1983;1980;Reused;No;-43.6;170.166;43.6;170.166;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
santamaria_et_al_2014_X_primack_1983_mountcook;2014;santamaria_et_al_2014;ARCTIC_ANTARCTIC_AND_ALPINE_RESEARCH;primack_1983_mountcook;1983;1980;Reused;No;-43.6;170.166;43.6;170.166;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
gonzalez-vaquero_et_al_2014_X_gonzalez-vaquero_et_al_2014;2014;gonzalez-vaquero_et_al_2014;COMMUNITY_ECOLOGY;gonzalez-vaquero_et_al_2014;2014;2010;Original;No;-43.123;-71.561;43.123;71.561;Argentina;ARG;Southern;South America;Neotropic;Temperate_broadleaf_and_mixed_forests;Valdivian_temperate_forests;no;no;NER;Mixed;no;yes;genus;Corynura;Insects;Bees;Bees;Inv-Hymenoptera-Bees
olesen_et_al_2006_X_primack_1983_arthur;2006;olesen_et_al_2006;JOURNAL_OF_THEORETICAL_BIOLOGY;primack_1983_arthur;1983;1980;Reused;No;-43.099;171.72;43.099;171.72;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
olesen_et_al_2007_a_X_primack_1983_arthur;2007;olesen_et_al_2007_a;TAXON;primack_1983_arthur;1983;1980;Reused;No;-43.099;171.72;43.099;171.72;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
olesen_et_al_2007_b_X_primack_1983_arthur;2007;olesen_et_al_2007_b;PROCEEDINGS_OF_THE_NATIONAL_ACADEMY_OF_SCIENCES_OF_THE_UNITED_STATES_OF_AMERICA;primack_1983_arthur;1983;1980;Reused;No;-43.099;171.72;43.099;171.72;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
santamaria_&_rodrigues-girones_2007_X_primack_1983_arthur;2007;santamaria_&_rodrigues-girones_2007;PLOS_BIOLOGY;primack_1983_arthur;1983;1980;Reused;No;-43.099;171.72;43.099;171.72;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
joppa_et_al_2009_X_primack_1983_arthur;2009;joppa_et_al_2009;ECOLOGY_LETTERS;primack_1983_arthur;1983;1980;Reused;No;-43.099;171.72;43.099;171.72;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
fortuna_et_al_2010_X_primack_1983_arthur;2010;fortuna_et_al_2010;JOURNAL_OF_ANIMAL_ECOLOGY;primack_1983_arthur;1983;1980;Reused;No;-43.099;171.72;43.099;171.72;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
