Web_Code;Use_Frequency;Publi_Year;Publi_Decade;Alt_Orig(m);LAT;LONG;Region;Country;ISO3;Hemisphere;Locality;Continent;Realm_WWF;Biome_WWF;Ecoregion_WWF;First_Sampling_Year;Last_Sampling_Year;Seasons;Obs;Metanetwork;Plant_taxon_criterion?;Plant_Taxonomic_level;Plant_taxon;Plant_trait_criterion?;Plant_selected_trait;Animal_taxon_criterion?;Animal_Taxonomic_level;Animal_taxon;Animal_taxon_2;Animal_taxon_3;Animal_taxon_4;Animal_taxon_5;Animal_trait_criterion?;Animal_selected_trait;Interaction-based_criterion?;Interaction-criterion;Sampling_hour_1;Sampling_hour_2;Sampling_hour_3;Sampling_months_1;Sampling_months_2;Sampling_months_3;Sampling_duration_months;Sampling_duration_years;Sampling_duration_days;Sampling_duration_hours;Sampling_unit;Used_Chapter_1;Data_Availability;Interact_Data;Network_Size(N);Rich_Plants;Plan_Not_Id;Rich_Users;User_Not_Id;Plan_Not_Id (%);User_Not_Id (%);Resol_Taxon_Plant_1;Resol_Taxon_User_1;Plant_No_Taxon;Plant_ID_Family;Plant_ID_Genus;Plant_ID_Species;Resol_Taxon_Plant_2;User_No_Taxon;User_ID_Phylum;User_ID_Class;User_ID_order;User_ID_Superfamily;User_ID_family;User_ID_Tribe;User_ID_Genus;User_ID_Species;Resol_Taxon_User_2;Dados_Abund_Plant;Dados_Abund_Users
abrahamczyc_&_kessler_2010_1;3;2010;2010;400;-16.966;-65.412;Tropical;Bolivia;BOL;Southern;Vila Tunari;SA;Neotropic;Tropical and subtropical moist broadleaf forests;Bolivian Yungas;2007;2008;;No data available;;no;NER;Mixed;yes;humminbirds plants;yes;family;Trochilidae;Birds;Hummingbirds;Hummingbirds;Ver-Aves-Hummingbirds;no;;yes;pollination;7.5to15.5;;;11to12;01to10;;12;1;16;128;individual plant;Yes;No;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
abrahamczyc_&_kessler_2010_2;1;2010;2010;204;-17.100;-64.783;Tropical;Bolivia;BOL;Southern;Sacta;SA;Neotropic;Tropical and subtropical moist broadleaf forests;Southwest Amazon moist forests;2007;2008;;No data available;;no;NER;Mixed;yes;humminbirds plants;yes;family;Trochilidae;Birds;Hummingbirds;Hummingbirds;Ver-Aves-Hummingbirds;no;;yes;pollination;7.5to15.5;;;11to12;01to10;;12;1;16;128;individual plant;Yes;No;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
abrahamczyc_&_kessler_2010_3;3;2010;2010;424;-17.513;-63.637;Tropical;Bolivia;BOL;Southern;Buena Vista;SA;Neotropic;Tropical and subtropical moist broadleaf forests;Bolivian Yungas;2007;2008;;No data available;;no;NER;Mixed;yes;humminbirds plants;yes;family;Trochilidae;Birds;Hummingbirds;Hummingbirds;Ver-Aves-Hummingbirds;no;;yes;pollination;7.5to15.5;;;11to12;01to10;;12;1;16;128;individual plant;Yes;No;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
abrahamczyc_&_kessler_2010_4;1;2010;2010;397;-17.780;-63.067;Tropical;Bolivia;BOL;Southern;Santa Cruz;SA;Neotropic;Tropical and subtropical dry broadleaf forests;Chiquitano dry forests;2007;2008;;No data available;;no;NER;Mixed;yes;humminbirds plants;yes;family;Trochilidae;Birds;Hummingbirds;Hummingbirds;Ver-Aves-Hummingbirds;no;;yes;pollination;7.5to15.5;;;11to12;01to10;;12;1;16;128;individual plant;Yes;No;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
abrahamczyc_&_kessler_2010_5;1;2010;2010;434;-18.712;-63.193;Tropical;Bolivia;BOL;Southern;Río Seco;SA;Neotropic;Tropical and subtropical grasslands, savannas, and shrublands;Dry Chaco;2007;2008;;No data available;;no;NER;Mixed;yes;humminbirds plants;yes;family;Trochilidae;Birds;Hummingbirds;Hummingbirds;Ver-Aves-Hummingbirds;no;;yes;pollination;7.5to15.5;;;11to12;01to10;;12;1;16;128;individual plant;Yes;No;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
abrahamczyc_&_kessler_2010_6;1;2010;2010;410;-21.604;-62.462;Tropical;Bolivia;BOL;Southern;Corbalán;SA;Neotropic;Tropical and subtropical grasslands, savannas, and shrublands;Dry chaco;2007;2008;;No data available;;no;NER;Mixed;yes;humminbirds plants;yes;family;Trochilidae;Birds;Hummingbirds;Hummingbirds;Ver-Aves-Hummingbirds;no;;yes;pollination;7.5to15.5;;;11to12;01to10;;12;1;16;128;individual plant;Yes;No;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
abreu_&_vieira_2004;4;2004;2000;700;-20.753;-42.92;Tropical;Brazil;BRA;Southern;Viçosa - MG;SA;Neotropic;Tropical and subtropical moist broadleaf forests;Bahia interior forests;1998;1999;;;;no;NER;Mixed;no;;yes;family;Trochilidae;Birds;Hummingbirds;Hummingbirds;Ver-Aves-Hummingbirds;no;;no;;06to12;15to18;;01to01;03to12;;10;;26;184;individual plant;Yes;Yes;2;22;14;0;8;0;0;0;100;100;0;0;0;14;1;0;0;0;0;0;0;0;0;8;1;1;2
adedoja_&_kehinde_2018;1;2018;2010;;7.433;4.516;Tropical;Nigeria;NGA;Northern;OAU Campus;AF;Afrotropical;Tropical and subtropical moist broadleaf forests;Nigerian lowland forests;2014;2015;;Species list but no interaction data;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;09to14;;;05to12;01to04;;12;;;;individual plant;Yes;No;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
adedoja_et_al_2018_1;1;2018;2010;550;-33.917;19.512;Temperate;South Africa;ZAF;Southern;Jonaskop Mountain ;AF;Afrotropical;Mediterranean forests, woodlands, and shrub;Montane fynbos and renosterveld;2017;2017;;altitudinal variation;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;08to10;;;3;;;19;individual plant;Yes;Yes;2;45;12;5;33;0;41,67;0;58,33;100;1;0;4;7;0,55;0;0;0;0;0;17;0;15;1;0,33;1;2
adedoja_et_al_2018_2;1;2018;2010;744;-33.924;19.516;Temperate;South Africa;ZAF;Southern;Jonaskop Mountain ;AF;Afrotropical;Mediterranean forests, woodlands, and shrub;Montane fynbos and renosterveld;2017;2017;;altitudinal variation;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;08to10;;;3;;;19;individual plant;Yes;Yes;2;49;16;7;33;31;43,75;93,94;56,25;6,06;0;0;7;9;0,7;0;0;0;0;0;11;0;20;2;0,38;1;2
